name_product,status_product,price_product,article_qty,profile_name,provincia_product,localidad_product,link_product,profile_link
Sony PlayStation 4 Slim 1TB Standard color negro azabache,Nuevo,193.069,6249,SETEC+BROTHERS,Capital Federal,Villa Devoto,https://www.mercadolibre.com.ar/sony-playstation-4-slim-1tb-standard-color-negro-azabache/p/MLA10813733?pdp_filters=category:MLA438566#searchVariation=MLA10813733&position=1&search_layout=stack&type=product&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/SETEC+BROTHERS
Sony PlayStation 4 500GB Standard color negro azabache,Nuevo,168.000,3079,SETEC+BROTHERS,Capital Federal,Villa Devoto,https://www.mercadolibre.com.ar/sony-playstation-4-500gb-standard-color-negro-azabache/p/MLA13984363?pdp_filters=category:MLA438566#searchVariation=MLA13984363&position=2&search_layout=stack&type=product&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/SETEC+BROTHERS
Ps4 Pro,Nuevo,190.000,,JVR921,Buenos Aires,San Vicente,https://articulo.mercadolibre.com.ar/MLA-1254846020-ps4-pro-_JM#position=3&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/JVR921
Sony Playstation 4 Pro 1tb Fortnite + Fifa 20* Nuevas* Gtía*,Nuevo,295.000,,ANGELADELVALLEPERDIGUERO,Buenos Aires,Rafael Castillo,https://articulo.mercadolibre.com.ar/MLA-1281960194-sony-playstation-4-pro-1tb-fortnite-fifa-20-nuevas-gtia-_JM#position=4&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/ANGELADELVALLEPERDIGUERO
Sony Playstation 4 Pro 1tb,,229.999,,NUCLEOGAMER.COM,Capital Federal,Villa Devoto,https://articulo.mercadolibre.com.ar/MLA-1115296319-sony-playstation-4-pro-1tb-_JM#position=5&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/NUCLEOGAMER.COM
Ps4 Pro Edición Death Stranding 1tb,,195.000,,JOSEANDRESALVIZURIVAS,Santa Fe,Rafaela,https://articulo.mercadolibre.com.ar/MLA-1176485870-ps4-pro-edicion-death-stranding-1tb-_JM#position=6&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/JOSEANDRESALVIZURIVAS
Playstation 4 Pro 1 Tb Original 4k 2018+3 Juegos Regalo Gtia,Nuevo,317.421,33,CHIPMANIA,Capital Federal,CAPITAL FEDERAL,https://articulo.mercadolibre.com.ar/MLA-694485087-playstation-4-pro-1-tb-original-4k-20183-juegos-regalo-gtia-_JM#position=7&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/CHIPMANIA
Sony Playstation 4 Pro 1tb Fortnite + Fifa 20 ***3 Cuotas***,Nuevo,359.000,,ANGELADELVALLEPERDIGUERO,Buenos Aires,Rafael Castillo,https://articulo.mercadolibre.com.ar/MLA-1281969868-sony-playstation-4-pro-1tb-fortnite-fifa-20-3-cuotas-_JM#position=8&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/ANGELADELVALLEPERDIGUERO
Sony Playstation 4 Pro 1tb + 2 Joystick + Juego Fisico,Nuevo,332.620,,CHIPMANIA,Capital Federal,CAPITAL FEDERAL,https://articulo.mercadolibre.com.ar/MLA-1127716827-sony-playstation-4-pro-1tb-2-joystick-juego-fisico-_JM#position=9&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/CHIPMANIA
Sony Playstation 4 Pro 1tb 4k Fortnite Nueva Local Garantia,Nuevo,306.120,2,CHIPMANIA,Capital Federal,CAPITAL FEDERAL,https://articulo.mercadolibre.com.ar/MLA-881413610-sony-playstation-4-pro-1tb-4k-fortnite-nueva-local-garantia-_JM#position=10&search_layout=stack&type=item&tracking_id=36b7f8a4-ef8f-4873-952a-3f87dd3b5e66,https://perfil.mercadolibre.com.ar/CHIPMANIA
